//FORMATO: Num mapa; num celda; Tipo enemigo (EJ Slime); posicion X (del 0 al 15); posicion Y (del 0 al 11);
0;3;Slime;3;1;
0;1;Dummy;11;3;
0;2;Slime;7;5;
1;21;Murcielago;5;6;
1;11;Slime;10;5;
1;11;Slime;10;6;
1;21;Slime;8;5;
1;22;Esqueleto;3;6;
1;22;Esqueleto;4;5;
1;13;Esqueleto;9;6;
1;23;Esqueleto;8;5;
1;14;Esqueleto;4;6;
1;12;Fantasma;3;5;
1;12;Fantasma;3;6;
1;23;Fantasma;4;5;
1;24;Fantasma;2;6;
1;71;EsqueletoConArmadura;7;4;
1;72;EsqueletoConArmadura;10;6;
1;91;EsqueletoConArmadura;7;5;
1;83;EsqueletoConArmadura;7;6;
1;84;EsqueletoConArmadura;10;4
1;81;Golem;10;5;
1;82;Golem;7;1;
1;92;Golem;7;1;
1;84;Golem;14;5;
1;73;HombreBomba;6;1;
1;74;HombreBomba;14;5;
1;76;BabosaFuego;3;4;
1;56;BabosaFuego;2;6;
1;67;BabosaFuego;7;2;
1;66;CangrejoFuego;7;2;
1;66;CangrejoFuego;7;9;
1;55;CangrejoFuego;7;1;
1;78;CangrejoFuego;7;10;
1;65;SlimeFuego;2;6;
1;65;SlimeFuego;14;5;
1;55;SlimeFuego;7;5;
1;88;SlimeFuego;14;6;
1;67;EspirituFuego;2;6;
1;68;EspirituFuego;2;5;
2;11;Esqueleto;9;6;
2;11;Esqueleto;9;5;
2;21;Esqueleto;7;1;
2;22;Esqueleto;2;6;
2;21;Fantasma;9;6;
2;12;Fantasma;2;7;
2;12;Fantasma;4;2;
2;13;ArmaduraEncantada;4;2;
2;13;ArmaduraEncantada;12;2;
2;2;ArmaduraEncantada;7;1;
3;2;Golem;7;1;
3;3;Golem;14;6;
3;11;Golem;8;1;
3;13;EsqueletoConArmadura;7;10;
3;12;EsqueletoConArmadura;7;10;
3;21;HombreBomba;7;1;
3;22;Golem;7;1;
3;22;Murcielago;3;2;
4;11;BabosaFuego;10;2;
4;11;BabosaFuego;10;3;
4;21;ArmaduraEncantadaFuego;10;2;
4;21;ArmaduraEncantadaFuego;10;9;
4;12;MantisReligiosa;3;2;
4;12;Skorpion;14;2;
1;5;Boss;7;8;
